date,lastSyncTime,steps,distance,runDistance,calories
2016-04-27,1461794594,4948,3242,46,281
2016-04-28,1461910351,16573,12060,79,751
2016-04-29,1461969057,18002,12916,29,737
2016-04-30,1462058218,4126,2981,11,207
2016-05-01,1462206634,3869,2651,0,244
2016-05-02,1462280050,10004,7330,0,426
2016-05-03,1462370540,14565,11022,55,616
2016-05-04,1462459867,6295,4341,0,315
2016-05-05,1462506734,12424,10207,2968,587
2016-05-06,1462652669,7964,5736,209,345
2016-05-07,1462701041,9518,7071,0,456
2016-05-08,1462828892,4088,3119,0,197
2016-05-09,1462876639,1958,1266,0,134
2016-05-10,1462971585,4534,2974,48,270
2016-05-11,1463051777,2569,1661,0,198
2016-05-12,1463153519,10398,7728,64,500
2016-05-13,1463568036,4276,2809,0,251
2016-05-14,1463568035,4591,3314,0,264
2016-05-15,1463568036,3164,2094,0,190
2016-05-16,1463568038,5880,4415,46,253
2016-05-17,1463568037,2499,1615,0,135
2016-05-18,1463742333,7824,5584,65,387
2016-05-19,1463742334,9053,6697,18,431
2016-05-20,1464201731,12367,8560,110,614
2016-05-21,1464201731,11307,8250,0,454
2016-05-22,1464201732,1531,990,0,119
2016-05-23,1464201733,2585,1671,0,165
2016-05-24,1464201734,12141,8997,106,529
2016-05-25,1464334882,9159,6433,399,455
2016-05-26,1464334883,15682,11175,133,667
2016-05-27,1464443079,16859,11675,698,698
2016-05-28,1464614886,1480,957,0,108
2016-05-29,1464614885,19521,13842,43,805
2016-05-30,1464711829,4950,3603,0,214
2016-05-31,1465061235,3575,2313,0,239
2016-06-01,1465061235,11677,8641,0,535
2016-06-02,1465061233,3755,2918,0,187
2016-06-03,1465061233,5117,3402,49,245
2016-06-04,1465325549,5896,3947,0,311
2016-06-05,1465325547,3294,2129,0,205
2016-06-06,1465325548,7644,5372,0,366
2016-06-07,1465481793,9196,6306,0,434
2016-06-08,1465481793,11668,8231,0,482
2016-06-09,1465660905,4698,3037,19,290
2016-06-10,1465660906,13407,9340,58,631
2016-06-11,1465768493,10886,7569,137,491
2016-06-12,1466158842,3912,2529,22,248
2016-06-13,1466158841,9188,6839,0,381
2016-06-14,1466158835,5231,3502,107,280
2016-06-15,1466158836,13878,10191,82,603
2016-06-16,1466158837,11051,7398,11,483
2016-06-17,1466286053,8004,5495,110,412
2016-06-18,1466352842,30386,21052,567,1104
2016-06-19,1466376290,37375,26057,277,1333
2016-06-20,1466544650,26579,18860,240,1015
2016-06-21,1466632442,29694,21190,122,1114
2016-06-22,1466682098,23866,16846,180,861
2016-06-23,1467294711,30013,21454,0,1051
2016-06-24,1467294710,21101,14760,53,889
2016-06-25,1467294711,22026,15974,2310,855
2016-06-26,1467294712,1895,1225,0,133
2016-06-27,1467294712,7038,4929,119,418
2016-06-28,1467294715,13270,9506,79,608
2016-06-29,1467294713,9896,6819,106,456
2016-06-30,1467470632,13112,8948,660,590
2016-07-01,1467470632,15140,10834,168,647
2016-07-02,1467553543,2522,1630,0,204
2016-07-03,1467629973,10103,7013,113,466
2016-07-04,1467696878,20349,14639,888,796
2016-07-05,1467834985,9983,7257,269,442
2016-07-06,1467916294,20540,14902,371,799
2016-07-07,1468090895,7053,5149,581,352
2016-07-08,1468090897,4499,2980,0,229
2016-07-09,1468271269,5678,4233,57,293
2016-07-10,1468271267,11777,8557,58,464
2016-07-11,1468271268,3154,2159,55,206
2016-07-12,1468360040,20699,14186,81,778
2016-07-13,1468496778,16828,11917,65,705
2016-07-14,1468616074,14564,10617,46,629
2016-07-15,1468780096,27465,19750,205,1168
2016-07-16,1468780095,7126,5318,0,345
2016-07-17,1468865710,3530,2424,0,222
2016-07-18,1468992168,19395,13484,749,893
2016-07-19,1468992167,22027,16025,285,932
2016-07-20,1469558043,14825,10500,128,618
2016-07-21,1469558044,28426,20409,1177,1151
2016-07-22,1469558040,21696,15552,444,918
2016-07-23,1469558040,821,531,0,80
2016-07-24,1469558041,11925,8904,49,533
2016-07-25,1469558041,19729,13917,377,855
2016-07-26,1469594487,24865,17352,578,1024
2016-07-27,1469881405,17319,12215,355,817
2016-07-28,1469881404,22108,15701,203,938
2016-07-29,1469881404,27582,19790,276,1122
2016-07-30,1470058559,13132,9147,83,589
2016-07-31,1470058555,16795,11847,109,652
2016-08-01,1470336564,27038,19214,194,1160
2016-08-02,1470336563,14171,9976,171,585
2016-08-03,1470336564,11759,8512,447,515
2016-08-04,1470414910,22070,15257,508,940
2016-08-05,1470516445,14260,10770,244,628
